tournament_id,tournament_name,league_band,first_seen_at_utc,last_seen_at_utc,first_scheduled_start_utc,latest_scheduled_start_utc,source
35025,Tournament A12. League 450-500,450-500,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-06T22:30:07.082000+00:00,2026-07-07T03:30:06.435000+00:00,api.league-pro.com
35030,Tournament A14. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-06T22:30:03.213000+00:00,2026-07-07T03:30:11.856000+00:00,api.league-pro.com
35039,Tournament A17. League 700-800,700-800,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-06T22:30:13.098000+00:00,2026-07-07T03:30:23.543000+00:00,api.league-pro.com
35044,Tournament A12. League 700-800,700-800,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T06:00:01.152000+00:00,2026-07-07T09:30:04.247000+00:00,api.league-pro.com
35045,Tournament A12. League 700-800,700-800,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T10:00:14.742000+00:00,2026-07-07T13:30:02.831000+00:00,api.league-pro.com
35046,Tournament A12. League 1000-1100,1000-1100,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T14:00:08.179000+00:00,2026-07-07T17:30:08.898000+00:00,api.league-pro.com
35047,Tournament A12. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T18:00:06.946000+00:00,2026-07-07T21:30:05.643000+00:00,api.league-pro.com
35048,Tournament A12. League 400-450,400-450,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T21:59:54.772000+00:00,2026-07-08T03:30:20.722000+00:00,api.league-pro.com
35049,Tournament A14. League 550-600,550-600,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T06:00:19.297000+00:00,2026-07-07T09:30:18.804000+00:00,api.league-pro.com
35050,Tournament A14. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T10:00:18.279000+00:00,2026-07-07T13:30:03.876000+00:00,api.league-pro.com
35051,Tournament A14. League 900-1000,900-1000,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T14:00:08.493000+00:00,2026-07-07T17:30:17.504000+00:00,api.league-pro.com
35052,Tournament A14. League 600-700,600-700,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T18:00:08.061000+00:00,2026-07-07T21:30:20.530000+00:00,api.league-pro.com
35053,Tournament A14. League 500-550,500-550,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T22:00:14.471000+00:00,2026-07-08T03:30:08.603000+00:00,api.league-pro.com
35054,Tournament A16. League 550-600,550-600,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T06:00:56.353000+00:00,2026-07-07T09:30:41.303000+00:00,api.league-pro.com
35055,Tournament A16. League 550-600,550-600,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T10:00:15.246000+00:00,2026-07-07T13:30:13.095000+00:00,api.league-pro.com
35056,Tournament A17. League 600-700,600-700,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T06:30:09.974000+00:00,2026-07-07T09:30:08.883000+00:00,api.league-pro.com
35057,Tournament A17. League 600-700,600-700,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T10:00:22.931000+00:00,2026-07-07T13:30:07.665000+00:00,api.league-pro.com
35058,Tournament A17. League 450-500,450-500,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T14:00:09.314000+00:00,2026-07-07T17:30:13.570000+00:00,api.league-pro.com
35059,Tournament A17. League 550-600,550-600,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T18:00:17.891000+00:00,2026-07-07T21:30:10.324000+00:00,api.league-pro.com
35060,Tournament A16. League 1000-1100,1000-1100,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T14:00:05.979000+00:00,2026-07-07T17:30:15.188000+00:00,api.league-pro.com
35061,Tournament A16. League 600-700,600-700,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T18:00:07.071000+00:00,2026-07-07T21:30:08.458000+00:00,api.league-pro.com
35062,Tournament A18. League 550-600,550-600,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T10:00:10.937000+00:00,2026-07-07T13:30:21.118000+00:00,api.league-pro.com
35063,Tournament A18. League 1000-1100,1000-1100,2026-07-22T05:40:48.224981+00:00,2026-07-22T05:40:48.224981+00:00,2026-07-07T14:00:10.021000+00:00,2026-07-07T17:30:07.339000+00:00,api.league-pro.com
